# time (s)	h_+ (strain)	h_x (strain)
-1.949263403	-1.838947e-22	-4.627720e-24
-1.949202368	-1.837420e-22	-2.475269e-24
-1.949141332	-1.835667e-22	-3.279759e-25
-1.949080297	-1.833688e-22	1.813973e-24
-1.949019262	-1.831484e-22	3.950391e-24
-1.948958227	-1.829058e-22	6.081096e-24
-1.948897192	-1.826409e-22	8.205905e-24
-1.948836157	-1.823539e-22	1.032464e-23
-1.948775121	-1.820449e-22	1.243712e-23
-1.948714086	-1.817141e-22	1.454316e-23
-1.948653051	-1.813615e-22	1.664261e-23
-1.948592016	-1.809872e-22	1.873527e-23
-1.948530981	-1.805914e-22	2.082098e-23
-1.948469946	-1.801741e-22	2.289956e-23
-1.948408911	-1.797355e-22	2.497086e-23
-1.948347875	-1.792758e-22	2.703469e-23
-1.948286840	-1.787949e-22	2.909090e-23
-1.948225805	-1.782931e-22	3.113932e-23
-1.948164770	-1.777704e-22	3.317979e-23
-1.948103735	-1.772269e-22	3.521214e-23
-1.948042700	-1.766629e-22	3.723621e-23
-1.947981664	-1.760783e-22	3.925185e-23
-1.947920629	-1.754733e-22	4.125889e-23
-1.947859594	-1.748480e-22	4.325717e-23
-1.947798559	-1.742026e-22	4.524655e-23
-1.947737524	-1.735371e-22	4.722686e-23
-1.947676489	-1.728516e-22	4.919795e-23
-1.947615454	-1.721464e-22	5.115968e-23
-1.947554418	-1.714214e-22	5.311188e-23
-1.947493383	-1.706769e-22	5.505441e-23
-1.947432348	-1.699129e-22	5.698713e-23
-1.947371313	-1.691295e-22	5.890987e-23
-1.947310278	-1.683270e-22	6.082251e-23
-1.947249243	-1.675053e-22	6.272489e-23
-1.947188207	-1.666646e-22	6.461686e-23
-1.947127172	-1.658050e-22	6.649830e-23
-1.947066137	-1.649267e-22	6.836904e-23
-1.947005102	-1.640298e-22	7.022896e-23
-1.946944067	-1.631143e-22	7.207792e-23
-1.946883032	-1.621805e-22	7.391576e-23
-1.946821996	-1.612283e-22	7.574237e-23
-1.946760961	-1.602580e-22	7.755759e-23
-1.946699926	-1.592697e-22	7.936129e-23
-1.946638891	-1.582634e-22	8.115333e-23
-1.946577856	-1.572393e-22	8.293359e-23
-1.946516821	-1.561976e-22	8.470193e-23
-1.946455786	-1.551383e-22	8.645821e-23
-1.946394750	-1.540616e-22	8.820230e-23
-1.946333715	-1.529675e-22	8.993407e-23
-1.946272680	-1.518563e-22	9.165340e-23
-1.946211645	-1.507280e-22	9.336015e-23
-1.946150610	-1.495827e-22	9.505419e-23
-1.946089575	-1.484206e-22	9.673539e-23
-1.946028539	-1.472419e-22	9.840364e-23
-1.945967504	-1.460465e-22	1.000588e-22
-1.945906469	-1.448346e-22	1.017007e-22
-1.945845434	-1.436065e-22	1.033293e-22
-1.945784399	-1.423621e-22	1.049445e-22
-1.945723364	-1.411016e-22	1.065460e-22
-1.945662329	-1.398251e-22	1.081339e-22
-1.945601293	-1.385328e-22	1.097079e-22
-1.945540258	-1.372248e-22	1.112680e-22
-1.945479223	-1.359012e-22	1.128139e-22
-1.945418188	-1.345621e-22	1.143457e-22
-1.945357153	-1.332077e-22	1.158632e-22
-1.945296118	-1.318380e-22	1.173662e-22
-1.945235082	-1.304533e-22	1.188547e-22
-1.945174047	-1.290536e-22	1.203285e-22
-1.945113012	-1.276390e-22	1.217876e-22
-1.945051977	-1.262097e-22	1.232317e-22
-1.944990942	-1.247659e-22	1.246608e-22
-1.944929907	-1.233075e-22	1.260747e-22
-1.944868871	-1.218349e-22	1.274734e-22
-1.944807836	-1.203480e-22	1.288567e-22
-1.944746801	-1.188470e-22	1.302245e-22
-1.944685766	-1.173321e-22	1.315768e-22
-1.944624731	-1.158034e-22	1.329133e-22
-1.944563696	-1.142610e-22	1.342340e-22
-1.944502661	-1.127050e-22	1.355387e-22
-1.944441625	-1.111355e-22	1.368274e-22
-1.944380590	-1.095528e-22	1.381000e-22
-1.944319555	-1.079569e-22	1.393562e-22
-1.944258520	-1.063479e-22	1.405961e-22
-1.944197485	-1.047261e-22	1.418194e-22
-1.944136450	-1.030914e-22	1.430262e-22
-1.944075414	-1.014442e-22	1.442162e-22
-1.944014379	-9.978437e-23	1.453894e-22
-1.943953344	-9.811219e-23	1.465457e-22
-1.943892309	-9.642778e-23	1.476849e-22
-1.943831274	-9.473125e-23	1.488070e-22
-1.943770239	-9.302276e-23	1.499118e-22
-1.943709204	-9.130242e-23	1.509992e-22
-1.943648168	-8.957038e-23	1.520691e-22
-1.943587133	-8.782678e-23	1.531215e-22
-1.943526098	-8.607176e-23	1.541561e-22
-1.943465063	-8.430545e-23	1.551730e-22
-1.943404028	-8.252799e-23	1.561719e-22
-1.943342993	-8.073952e-23	1.571528e-22
-1.943281957	-7.894018e-23	1.581156e-22
-1.943220922	-7.713012e-23	1.590602e-22
-1.943159887	-7.530947e-23	1.599864e-22
-1.943098852	-7.347838e-23	1.608942e-22
-1.943037817	-7.163699e-23	1.617835e-22
-1.942976782	-6.978545e-23	1.626541e-22
-1.942915746	-6.792389e-23	1.635059e-22
-1.942854711	-6.605247e-23	1.643389e-22
-1.942793676	-6.417133e-23	1.651530e-22
-1.942732641	-6.228061e-23	1.659480e-22
-1.942671606	-6.038048e-23	1.667238e-22
-1.942610571	-5.847107e-23	1.674803e-22
-1.942549536	-5.655253e-23	1.682175e-22
-1.942488500	-5.462501e-23	1.689352e-22
-1.942427465	-5.268868e-23	1.696333e-22
-1.942366430	-5.074367e-23	1.703118e-22
-1.942305395	-4.879015e-23	1.709705e-22
-1.942244360	-4.682826e-23	1.716093e-22
-1.942183325	-4.485817e-23	1.722281e-22
-1.942122289	-4.288002e-23	1.728268e-22
